IST-6.jpeg	19.09
IST-3.jpeg	25.25
IST-1.jpeg	18.82
IST-0.jpeg	16.87
IST-9.jpeg	19.97
IST-8.jpeg	17.91
IST-4.jpeg	18.84
IST-5.jpeg	17.60
IST-7.jpeg	18.96
IST-2.jpeg	18.16
Thread 0	1	19.238374569
Thread 1	1	25.395475519
Thread 2	1	18.962560757
Thread 3	1	17.011245562
Thread 4	1	20.122841011
Thread 5	1	18.061761850
Thread 6	1	18.983444636
Thread 7	1	17.749585982
Thread 8	1	19.112041817
Thread 9	1	18.303246411
Thread 10	0	0.000000000
Thread 11	0	0.000000000
Thread 12	0	0.000000000
Thread 13	0	0.000000000
Thread 14	0	0.000000000
Thread 15	0	0.000000000
Thread 16	0	0.000000000
Thread 17	0	0.000000000
Thread 18	0	0.000000000
Thread 19	0	0.000000000
Thread 20	0	0.000000000
Thread 21	0	0.000000000
Thread 22	0	0.000000000
Thread 23	0	0.000000000
Thread 24	0	0.000000000
Thread 25	0	0.000000000
Thread 26	0	0.000000000
Thread 27	0	0.000000000
Thread 28	0	0.000000000
Thread 29	0	0.000000000
Thread 30	0	0.000000000
Thread 31	0	0.000000000
total 	         25.396226718
